CD_CIRURGIA,DS_CIRURGIA,Codigo Tabela AMB,SN_ATIVO
2529,ANGIOGRAFIA POR CATETERISMO SUPERSELETIVO DE RAMO SECUNDARIO OU DISCAL POR VASO,40812057,S
1027,ANGIOGRAFIA SUBTRACAO DIGITAL DA AORTA,40812057,S
1026,ANGIOGRAFIA SUBTRACAO DIGITAL INJ ATERIA,40812057,S
1029,ANGIOGRAFIA SUBTRACAO DIGITAL DAS ART CO,40812057,S
1028,ANGIOGRAFIA SUBTRACAO DIGITAL DE CAV CAR,40812057,S
60,ANGIOGRAFIA SUBTRACAO DIGITAL INJ VENOSA,40812057,S
2530,ANGIOGRAFIA POR PUNCAO,40812022,S
2531,AORTOGRAFIA ABDOMINAL POR PUNCAO TRANSLOMBAR,40812014,S
2526,FLEBOGRAFIA POR PUNCAO VENOSA UNILATERAL,40812081,S
2533,ANGIOPLASTIA ARTERIAL OU VENOSA DE ANASTOMOSE VASCULAR DE FIGADO TRANSPLANTADO,40813118,S
2534,ANGIOPLASTIA ARTERIAL OU VENOSA DE ANASTOMOSE VASCULAR DE RIM TRANSPLANTADO,40813134,S
2604,ANGIOPLASTIA DE AORTA PARA TRATAMENTO DE COARCTACAO,40813088,S
2535,ANGIOPLASTIA DE ARTERIA VISCERAL POR VASO,40813100,S
2600,ANGIOPLASTIA DE RAMO INTRACRANIANO,40813061,S
2536,ANGIOPLASTIA DE RAMOS HIPOGASTRICOS PARA TRATAMENTO DE IMPOTENCIA,40813142,S
2599,ANGIOPLASTIA DE TRONCO SUPRA AORTICO,40813070,S
2537,ANGIOPLASTIA DE TRONCO VENOSO,40813150,S
2538,ANGIOPLASTIA RENAL PARA TRATAMENTO DE HIPERTENSAO RENOVASCULAR OU OUTRA CONDICAO,40813126,S
2539,ANGIOPLASTIA TRANSLUMINAL PERCUTANEA,40813177,S
2540,ANGIOPLASTIA TRANSLUMINAL PERCUTANEA PARA TRATAMENTO DE OBSTRUCAO ARTERIAL,40813185,S
2541,ANGIOPLASTIA VENOSA PARA TRATAMENTO DE SINDROME DE BUDD CHIARI,40813169,S
2562,COLOCACAO DE CATETER VENOSO CENTRAL OU PORTOCATH,40813231,S
2554,COLOCACAO DE FILTRO DE VCI PARA PREVENCAO DE TEP,40813240,S
2542,COLOCACAO DE STENT AORTICO,40813215,S
2543,COLOCACAO DE STENT EM ARTERIA VISCERAL POR VASO,40813258,S
2545,COLOCACAO DE STENT EM ESTENOSE VASCULAR DE ENXERTO TRANSPLANTADO,40813290,S
2601,COLOCACAO DE STENT EM RAMO INTRACRANIANO,40813193,S
2598,COLOCACAO DE STENT EM TRONCO SUPRA AORTICO,40813207,S
2546,COLOCACO DE STENT PARA TRATAMENTO DE OBSTRUCAO ARTERIAL OU VENOSA,40813266,S
2548,COLOCACAO DE STENT RENAL,40813339,S
2547,COLOCACAO DE STENT PARA TRATAMENTO DE SINDROME DE VCI,40813339,S
2549,COLOCACO DE STENT REVESTIDO STENT GRAFT PARA TRATAMENTO DE ANEURISMA PERIFERICO,40813274,S
2550,COLOCACAO DE STENT REVESTIDO STENT GRAFT PARA TRATAMENTO DE FISTULA ARTERIOVENOSA,40813282,S
2552,ANEURISMAS ROTOS OU TROMBOSADOS DE ARTERIAS VISCERAIS,40813355,S
2551,COLOCACAO PERCUTANEA DE STENT VASCULAR,40813355,S
534,TRANSPLANTE MUSCUL-SEMITENDINOSO,30703158,S
204,CERCLAGEM DO COLO UTERINO,31309046,S
3101,CESARIANA - FETO UNICO,31309054,S
3161,CESARIANA - GEMELAR,31309054,S
1267,CESARIANA - FETO MULTIPLO,31309054,S
206,CURETAGEM POS ABORTO,31309062,S
2459,TRATAMENTO CIRURGICO GRAVIDEZ ECTOPICA,31309089,S
897,PRENHEZ ECTOPIA - TRAT CIRURGICO,31309089,S
895,INVERSAO UTERINA - TRAT CIRURGICO,31309119,S
277,INVERSAO UTERINA AGUDA - REDUCAO MANUAL,31309100,S
207,EXTRACAO MANUAL PLACENTA,31309100,S
899,PARTO NORMAL,31309127,S
896,PARTO NORMAL MULTIPLO,31309135,S
898,SUTURA DE LACER DE TRAJETO PELVICO,31309151,S
1268,BIOPSIA CEREBRAL ESTEROTAXICA,31401015,S
1817,BIOPSIA ESTERIOTAXICA,31401015,S
1835,CINGULECTOMIA - BILATERAL,31401023,S
438,CINGULECTOMIA - UNILATERAL,31401023,S
1521,CIRURGIA INTRACRANIANA POR VIA ENDOSCOPICA,31401031,S
2959,CRANIOTOMIA PARA RRETIRADA DE CORPO ESTRANHO INTRACRANIANO (COM TECNICA COMPLEMENTAR),31401040,S
2955,CARNIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO,31401040,S
1617,CRANIOTOMIA P/ REMOCAO CORPO ESTRANHO,31401040,S
446,CRANIOTOMIA EXPLORADORA COM BIOPSIA,31401040,S
2963,DERIVACAO VENTRICULAR EXTERNA-SUBGALEAL EXTERNA,31401058,S
2494,DERIVACAO VENTRICULAR EXTERNA + MPIC,31401058,S
2449,DERIVA��O VENTRICULAR PERITONIAL,31401058,S
1160,DERIVACAO VENTRICULO PERITONEAL C/SISTEMA DE VALVULA,31401058,S
1834,DRENAGEM ESTERIOTAXICA CISTO HEMATO/ABSC,31401066,S
2987,HIPOFISECTOMIA TRANSFENOIDAL POR TECNICA COMPLEMENTAR,31401074,S
2986,HIPOFISECTOMIA TRANSFENOIDAL ENDOSCOPICA,31401074,S
1663,HIPOFISECTOMIA POR QUALQUER METODO,31401074,S
1228,HIPOFISECTOMIA CIRURGICA,31401074,S
